Country,Area(s),Age Range,Study Years,Sample Size,Number of Cases,"ASD Prevalence Estimate per 1,000",Diagnosis Age Range (months),Diagnosis Mean Age (months),Diagnosis Median Age (months),Non-Verbal or Minimally Verbal (%),Autism Types Included
China,Hong Kong,0 to 14,1986-2005,"4,247,206",682,1.6,,,,,ASD (not specified)
Australia,Nationwide,6 to 12,2003-2004,"5,459",,6.25,,,,,"ASD (autism, Asperger syndrome, PDD-NOS)"
Venezuela,Maracaibo County,3 to 9,2005-2006,"254,905",430,1.7,,,,,"ASD (autism, Asperger syndrome, PDD-NOS)"
England,Avon area in Southwest England,0 to 11,1991-2003,"14,026",86,6.19,,,81.9,,"ASD (childhood autism, atypical autism, Asperger syndrome, unspecified ASD)"
USA,South Carolina,8,2000 & 2002,"47,726",295,6.2,,,58,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)"
England,Cambridgeshire,5 to 9,2003-2004,"12,197",116,15.7,,,,,"ASD (autism, Asperger syndrome, PDD-NOS, atypical autism)"
USA,Alabama; Florida; Missouri; Pennsylvania; Wisconsin; Arizona; Colorado; Georgia; Maryland; North Carolina; South Carolina,8,2006,"308,038","2,757",9,,,50-66,,"autistic disorder, PDD-NOS (including atypical autism), Asperger syndrome"
USA,South Carolina,4,2006,"8,156",65,8,,,34,,"ASD (autistic disorder, PDD-NOS including atypical autism, Asperger syndrome)"
Australia,Western Australia,2 to 8,2004,"419,917",982,2.34,,,,,"ASD (autism, Asperger syndrome, PDD-NOS)"
Caribbean,Aruba,0 to 13,1997-2003,"13,109",69,5.3,,,,,"ASD (autistic disorder, PDD-NOS, Rett, Asperger syndrome, childhood disintegrative disorder)"
Sri Lanka,A semi-urban community,1.5 to 2,2007,374,4,10.7,,,,,ASD (unspecified)
USA,Nationwide,3 to 17,2007,"77,911",913,11,,,,,"ASD (autism, Asperger syndrome, PDD, other ASD)"
Canada,Montreal,6 to 17,2008,"23,635",187,7.91,,,,,"PDD (autistic disorder, Asperger syndrome, PDD-NOS, childhood disintegrative disorder)"
Norway,Bergen,7 to 9,,"6,609",14,8.7,,,,,"ASD (autistic disorder, childhood autism, Asperger syndrome, PDD-NOS/atypical autism)"
USA,Wisconsin,,2002-2008,"428,030","3,831",9,,,,,autism
Sweden,Stockholm,6,2005-2008,"23,566",147,6.2,,,,,"ASD (autistic disorder, Asperger syndrome, atypical autism, unspecified ASD)"
Oman,Nationwide,0 to 14,2009,"798,913",113,0.14,,,,,ASD (not specified)
USA,Nationwide,3 to 17,1997-2008,,537,4.7,,,,,autism (not specified)
USA,California,6,2006,"4,906,926",,4.9,,,45.6,,ASD (not specified)
